metric,ease
DL_REPO_1M,0
DL_UPDATE_SITE_1M,0
ITS_AUTH_1M,1
ITS_BUGS_DENSITY,0.1370463764938055
ITS_FIX_MED_1M,0.0
ITS_UPDATES_1M,54
MKT_FAV,0
MKT_INSTALL_FAILED_1M,0
MKT_INSTALL_SUCCESS_1M,0
MLS_DEV_RESP_RATIO_1M,0.4444444444444444
MLS_DEV_SUBJ_1M,36
MLS_DEV_VOL_1M,52
MLS_USR_RESP_TIME_MED_1M,0.56
NCC_ANA,574
NCC_CHA,107
NCC_COR,5
NCC_EFF,81
NCC_MAT,2
NCC_POR,21
NCC_REL,265
NCC_RES,0
NCC_REU,2517
NCC_SEC,12
NCC_TES,26
NCC_THR,4
PLAN_MILESTONES_VOL,0
PLAN_REVIEWS_SUCCESS_RATE,0
PUB_ITS_INFO_PMI,0
PUB_SCM_INFO_PMI,0
RKO_ANA,21
RKO_CHA,7
RKO_COR,2
RKO_EFF,7
RKO_MAT,1
RKO_POR,1
RKO_REL,11
RKO_REU,8
RKO_SEC,2
RKO_TES,1
RKO_THR,1
ROKR_ANA,66.6666666666667
ROKR_CHA,63.1578947368421
ROKR_COR,97.1014492753623
ROKR_EFF,58.8235294117647
ROKR_MAT,50
ROKR_POR,66.6666666666667
ROKR_REL,76.5957446808511
ROKR_RES,0
ROKR_REU,55.5555555555556
ROKR_SEC,92.3076923076923
ROKR_TES,0
ROKR_THR,87.5
ROK_ANA,42
ROK_CHA,12
ROK_COR,67
ROK_EFF,10
ROK_MAT,1
ROK_POR,2
ROK_REL,36
ROK_RES,0
ROK_REU,10
ROK_SEC,24
ROK_TES,0
ROK_THR,7
RULES,213
RULES_ANA,63
RULES_CHA,19
RULES_COR,69
RULES_EFF,17
RULES_MAT,2
RULES_POR,3
RULES_REL,47
RULES_RES,0
RULES_REU,18
RULES_SEC,26
RULES_TES,1
RULES_THR,8
SCM_COMMITS_1M,0
SCM_COMMITTED_FILES_1M,0
SCM_COMMITTERS_1M,0
