metric,sirius
DL_REPO_1M,0
DL_UPDATE_SITE_1M,0
ITS_AUTH_1M,19
ITS_BUGS_DENSITY,0.1
ITS_FIX_MED_1M,18.16
ITS_UPDATES_1M,192
MKT_FAV,0
MKT_INSTALL_FAILED_1M,87
MKT_INSTALL_SUCCESS_1M,357
MLS_DEV_RESP_RATIO_1M,0
MLS_DEV_SUBJ_1M,0
MLS_DEV_VOL_1M,0
MLS_USR_RESP_TIME_MED_1M,0
NCC_ANA,8965
NCC_CHA,1980
NCC_COR,10
NCC_EFF,1418
NCC_MAT,6
NCC_POR,5
NCC_REL,4093
NCC_RES,0
NCC_REU,96110
NCC_SEC,65
NCC_TES,718
NCC_THR,4
PLAN_MILESTONES_VOL,0
PLAN_REVIEWS_SUCCESS_RATE,0
PUB_ITS_INFO_PMI,5
PUB_SCM_INFO_PMI,5
RKO_ANA,33
RKO_CHA,10
RKO_COR,4
RKO_EFF,11
RKO_MAT,2
RKO_POR,1
RKO_REL,13
RKO_REU,8
RKO_SEC,5
RKO_TES,1
RKO_THR,1
ROKR_ANA,47.6190476190476
ROKR_CHA,47.3684210526316
ROKR_COR,94.2028985507246
ROKR_EFF,35.2941176470588
ROKR_MAT,0
ROKR_POR,66.6666666666667
ROKR_REL,72.3404255319149
ROKR_RES,0
ROKR_REU,55.5555555555556
ROKR_SEC,80.7692307692308
ROKR_TES,0
ROKR_THR,87.5
ROK_ANA,30
ROK_CHA,9
ROK_COR,65
ROK_EFF,6
ROK_MAT,0
ROK_POR,2
ROK_REL,34
ROK_RES,0
ROK_REU,10
ROK_SEC,21
ROK_TES,0
ROK_THR,7
RULES,213
RULES_ANA,63
RULES_CHA,19
RULES_COR,69
RULES_EFF,17
RULES_MAT,2
RULES_POR,3
RULES_REL,47
RULES_RES,0
RULES_REU,18
RULES_SEC,26
RULES_TES,1
RULES_THR,8
SCM_COMMITS_1M,126
SCM_COMMITTED_FILES_1M,2268
SCM_COMMITTERS_1M,9
