Project,MKT_FAV,MKT_INSTALL_SUCCESS_1M
android-dt,83,14075
anyedit-tools,226,1442
apache-ivyde,34,2216
arcon,1,0
atlassian-clover,8,33
atlassian-connector,77,1210
black-duck-code-search,1,7
bonita,45,0
bytecode-visualizer,32,439
cdt,8,3843
checkstyle,256,6066
color-theme,295,25953
ecf,15,36
ecl-emma-java-coverage,201,9794
eclipse,21,7
enidep2f,24,437
findbugs,388,9408
gendoc,6,8
github-mylyn-connector,58,0
ibm-worklight-studio,15,2601
jboss-tools-kepler,34,5033
jboss-tools-luna,12,13426
jetty,16,2304
jproject,9,0
jrebel,59,4907
klocwork-cahoots,0,0
klocwork-insight,0,0
maven-integration-luna,321,1983
mylyn,177,294
ocl,4,76
pmd,17,2547
pydev,289,10438
sirius,3,423
sonar,73,4023
spring-tools,6,11153
subclipse,452,34336
subversive,246,37387
testng,41,5998
umlet,483,0
vaadin,37,3917
